"","LOC","GENO","h1","h2","h3","h4","M","Y"
"1","12","Belko2",0.171000000000026,1.0499999999999,1.97500000000019,2.87500000000048,0.723539410499986,9.12022986480098
"2","12","CHRFS9",0.279000000000002,1.69999999999999,2.77500000000001,3.55,0.608038775999996,11.3844321278666
"3","12","CHRSS2",0.290000000000003,1.82499999999999,2.60000000000001,3.85,0.574819114499996,15.0877472823668
"4","12","E105",0.252000000000002,1.27499999999999,2.37500000000001,3.45,0.695470398999996,10.3734661178865
"5","12","Epo",0.261000000000002,1.19999999999999,2.32500000000001,3.325,0.713956187499996,6.72654110031971
"6","12","ES5200",0.356000000000002,1.79999999999999,2.60000000000001,3.725,0.659319789499996,12.9992413894799
"7","12","Grassl",0.246500000000002,1.54999999999999,2.52500000000001,3.5,0.699156336999996,11.9712609865392
"8","12","GS109",0.228000000000002,1.27499999999999,2.17500000000001,2.9,0.678422756999996,8.83217111869399
"9","12","Kalaicou",0.232500000000002,1.09999999999999,2.20000000000001,3.025,0.726569573499996,7.97578558226688
"10","12","MA38",0.297000000000002,1.37499999999999,2.40000000000001,3.05,0.685584876499996,11.7694298769782
"11","12","MA56",0.187000000000002,1.24999999999999,2.02500000000001,2.65,0.7738593400585,8.27188876493881
"12","12","Mila",0.206500000000002,1.19999999999999,2.35000000000001,3.275,0.665916408999996,8.02535480466452
"13","12","Pacesetter",0.324000000000002,1.77499999999999,2.82500000000001,3.4,0.635450779499996,16.2507905250032
"14","12","PacesetterBMR",0.297620999341058,1.44204435450251,2.59176828362252,3.30302859416709,0.735286619019497,12.1294629318974
"15","12","PRE0003",0.291500000000002,1.62499999999999,2.67500000000001,3.8,0.741954096499996,8.45972833231523
"16","12","PRE0004",0.265500000000002,1.49999999999999,2.60000000000001,3.7,0.619564319999996,4.17339619086498
"17","12","PRE0006",0.244000000000002,0.94999999999999,2.07500000000001,2.975,0.7494823530585,5.75306300857684
"18","12","PRE0007",0.267000000000002,1.09999999999999,1.75000000000001,2.475,0.784437618499996,4.36361065971742
"19","12","PRE0012",0.324000000000002,1.42499999999999,2.30000000000001,2.7,0.746354612499996,4.49389388098095
"20","12","PRE0016",0.250000000000002,1.32499999999999,2.45000000000001,3.15,0.765545878999996,3.88192024635006
"21","12","PRE0019",0.267000000000002,1.44999999999999,2.20000000000001,3.45,0.748857698499996,3.09103956297235
