LOC,GENO,TAXA,range,row,BLOCK,Y,M,h1,h2,h3,h4
12EF,PRE0690,PI267654,12,21,2,9.675850096,0.57021245,0.239,1.25,2.1,2.55
12EF,PRE1074,PI660631,12,22,2,4.400716962,0.743862164,0.21,1.05,1.5,1.55
12EF,PRE0587,NSL55678,12,23,2,8.124128781,0.665542269,0.221,1.4,2.5,3.1
12EF,PRE0210,PI291234,12,24,2,5.077232611,0.64292116,0.208,1.8,2.85,3
12EF,PRE0704,NSL51876,13,1,1,12.1798486,0.61210488,0.234,1.65,2.85,3.7
12EF,PRE0074,PI153846,13,2,1,6.161586016,0.684843062,0.209,1.45,2.6,2.7
12EF,PRE0987,PI330877,13,3,1,2.537022563,0.82870976,0.207,1.3,2.35,2.35
12EF,PRE0111,PI257600,13,4,1,11.84593257,0.722294132,0.287,1.95,2.9,3.9
12EF,PRE0079,PI153859,13,5,1,1.8527598,0.83540607,0.25,1.5,2.15,2.35
12EF,PRE1184,PI329686,13,6,1,6.994126885,0.712062688,0.263,1.4,2.45,3.25
12EF,PRE0587,NSL55678,13,7,1,12.32397052,0.729847978,0.256,1.9,2.9,3.7
12EF,Sorgrass,PI563222,13,8,1,5.825584767,0.77652181,0.343,1.5,2.45,3.5
12EF,PRE0277,PI562969,13,9,1,10.95080868,0.715631733,0.231,1.45,2.55,3.5
12EF,PRE0319,PI267653,13,10,1,5.92813442,0.749846636,0.258,1.4,2.4,3.05
12EF,PRE1440,PI522160,13,11,1,NA,NA,0.155,1.25,2.35,2.55
12EF,PRE0201,PI248328,13,12,1,9.646942786,0.638152576,0.287,1.7,2.2,4
12EF,PRE1203,PI383856,13,13,2,4.699367962,0.582521469,0.175,1.55,2.65,3.55
12EF,E105,PI297171,13,14,2,11.50439416,0.701256343,0.268,1.6,2.6,3.55
12EF,PRE0049,PI152595,13,15,2,3.25500527,0.780234263,0.228,1.15,1.9,2.75
12EF,PRE1157,PI330102,13,16,2,NA,NA,0.284,1.6,2.25,3.45
12EF,CHRFS9,commercial hybrid,13,17,2,11.46775649,0.627759678,0.307,1.7,2.7,3.5
12EF,PRE0003,PI147828,13,18,2,9.480380121,0.679960161,0.33,1.8,2.7,3.7
12EF,PRE1155,PI330095,13,19,2,8.102138845,0.640114474,0.292,1.85,2.25,3.85
12EF,PRE0038,PI148108,13,20,2,12.78739725,0.651872153,0.315,1.9,2.75,3.7
12EF,PRE0025,PI148086,13,21,2,10.80029334,0.668547608,0.298,1.9,2.85,3.55
12EF,PRE0972,PI152857,13,22,2,6.849813671,0.695740983,0.183,1.3,2.25,2.45
12EF,PRE0239,PI570995,13,23,2,3.26982677,0.709517857,0.228,0.95,1.75,2.35
12EF,PRE0728,PI267410,13,24,2,6.144588568,0.711903088,0.194,1.3,2,2.15
12EF,PRE1506,NSL360555,14,1,1,8.302541724,0.681502017,0.296,1.05,2.05,2.8
12EF,PRE1263,PI571201,14,2,1,5.959783404,0.664681498,0.223,1.15,1.9,2.45
12EF,PRE0331,PI221662,14,3,1,8.370652199,0.795233691,0.214,1.25,2.25,2.9
12EF,PRE0970,PI297117,14,4,1,6.250212991,0.722374396,0.192,1.15,1.85,2.45
12EF,PRE0951,PI152856,14,5,1,6.0976337,0.771283701,0.193,1.05,1.65,1.95
12EF,PRE1076,PI660632,14,6,1,1.872894745,0.77419496,0.219,1.15,1.25,1.5
12EF,PRE0061,PI152727,14,7,1,8.983256454,0.755437196,0.221,1.25,2.3,3.2
12EF,PRE0299,NSL50827,14,8,1,2.024384482,0.755930641,0.208,1,2.15,2.75
12EF,PRE0372,PI660600,14,9,1,6.61353935,0.727730884,0.206,1.3,2.4,3.2
12EF,PRE1038,PI330886,14,10,1,7.471392573,0.699737869,0.218,1.5,2.4,3.4
12EF,PRE0132,PI276783,14,11,1,7.86891837,0.728938863,0.253,1.85,2.65,3.25
12EF,PRE0851,PI267525,14,12,1,2.860510132,0.731762631,0.175,1.9,2.35,2.65
12EF,PRE0564,PI660588,14,13,2,5.734896198,0.641482719,0.198,1.4,2.25,2.75
12EF,PRE0064,PI152736,14,14,2,7.143941206,0.665047158,0.252,1.25,2.1,2.65
12EF,PRE0074,PI153846,14,15,2,1.802158691,0.766009635,0.206,1.4,2.45,2.7
12EF,PRE0399,PI660594,14,16,2,7.58061051,0.727758317,0.287,1.25,2.35,3.15
12EF,PRE0382,PI660597,14,17,2,8.329146633,0.724336905,0.32,1.55,2.55,3.1
12EF,ZMA_5327,PI505730,14,18,2,14.54214296,0.659086492,0.307,1.55,2.7,3.45
12EF,PRE1322,NSL365752,14,19,2,4.286277058,0.698548608,0.211,1.25,2.15,2.65
12EF,ZMA_5379,PI505741,14,20,2,10.88804933,0.671821331,0.307,1.45,2.4,3.55
12EF,PRE0206,PI248336,14,21,2,9.305295863,0.665819869,0.254,1.85,2.7,3.6
12EF,PRE0373,PI660602,14,22,2,13.71468325,0.710636272,0.308,1.75,2.5,3.3
12EF,PRE1506,NSL360555,14,23,2,15.45383835,0.48853669,0.263,1.15,2.15,3
12EF,PRE0006,PI147837,14,24,2,6.009416709,0.733070225,0.26,1.15,2.3,3.1
12EF,PRE0480,NSL55734,15,1,1,6.871525717,0.658867925,0.208,1.35,2.25,2.75
12EF,PRE0399,PI660594,15,2,1,7.369099204,0.689041303,0.242,1.3,2.1,2.85
12EF,PRE0036,PI148105,15,3,1,2.261776698,0.74548888,0.33,1.8,2.8,3.6
12EF,PRE1215,NSL365720,15,4,1,7.530986924,0.794974207,0.278,1.1,1.8,2.45
12EF,PRE0123,PI276769,15,5,1,4.212384167,0.807834888,0.295,1.5,2.45,3.25
12EF,PRE0563,NSL51962,15,6,1,8.548491331,0.810144064,0.155,1.4,2.45,3
12EF,PRE0091,PI156143,15,7,1,5.070644604,0.723910573,0.191,1.4,2.35,3
12EF,PRE1441,PI524948,15,8,1,9.483675758,0.757461293,0.267,1.4,2.6,3.1
12EF,PRE0145,PI276800,15,9,1,2.652038131,0.776180426,0.198,1.25,2.25,3
12EF,PRE0382,PI660597,15,10,1,15.19918982,0.592780857,0.233,1.6,2.35,3.05
12EF,PRE1157,PI330102,15,11,1,4.606507923,0.757020217,0.277,1.6,2.25,3.25
12EF,PRE0562,PI570751,15,12,1,NA,NA,0.256,1.75,3.1,4.2
12EF,PRE0987,PI330877,15,13,2,2.978050158,0.748666541,0.248,1.35,2.25,2.75
12EF,PRE1442,PI525049,15,14,2,13.44580622,0.675782014,0.368,1.95,3,3.45
12EF,PRE0211,PI291236,15,15,2,10.1179846,0.525605321,0.263,2.05,3.2,3.4
12EF,GS109,PI506037,15,16,2,8.566880726,0.638497733,0.317,1.45,2.35,3
12EF,PRE0016,PI147933,15,17,2,2.420199642,0.759701773,0.27,1.7,2.6,3.2
12EF,PRE0134,PI276785,15,18,2,12.95378692,0.635587056,0.358,1.75,2.4,2.7
12EF,PRE0947,PI185458,15,19,2,6.686082135,0.686514467,0.293,1.75,2.5,3.15
12EF,PRE0566,NSL52006,15,20,2,7.349491017,0.711505788,0.383,1.5,2.4,2.95
12EF,PRE0201,PI248328,15,21,2,13.6706181,0.62782709,0.292,1.85,3,3.95
12EF,PRE0465,PI155138,15,22,2,10.15443753,0.744183021,0.345,2,2.9,3.65
12EF,PRE0259,PI152633,15,23,2,6.514027775,0.450246622,0.201,2.5,2.65,2.7
12EF,PRE0165,PI276828,15,24,2,3.975000132,0.731622913,0.247,1.3,2.5,3.05
12EF,PRE0062,PI152730,16,1,1,6.243973789,0.736518956,0.239,1.15,2.15,2.95
12EF,PRE0322,PI660580,16,2,1,7.777497201,0.654534595,0.263,1.35,2.45,2.75
12EF,PRE0572,PI660605,16,3,1,10.72138764,0.682514103,0.304,1.15,1.85,2.1
12EF,PRE0141,PI276792,16,4,1,4.543616447,0.808270046,0.227,1.2,2.2,2.7
12EF,MA38,PI508366,16,5,1,8.495647703,0.734447111,0.286,1.3,2.5,3.15
12EF,PRE0206,PI248336,16,6,1,8.869689127,0.727796312,0.29,1.6,2.75,3.55
12EF,PRE0332,NSL51836,16,7,1,9.529008893,0.740579472,0.334,1.65,2.8,3.45
12EF,PRE1025,PI329915,16,8,1,8.028141382,0.576539087,0.275,1.6,2.4,3.25
12EF,PRE0728,PI267410,16,9,1,7.288878022,0.720387681,0.28,1.45,2.05,2.15
12EF,PRE1321,NSL365751,16,10,1,4.733901847,0.757867211,0.265,1.3,2.05,2.3
12EF,PRE1104,NSL365709,16,11,1,11.53062129,0.750479402,0.244,1.35,2.35,3.1
12EF,PRE0279,NSL50595,16,12,1,2.870570266,0.757737339,0.275,1.3,2.45,3.1
12EF,PRE0200,PI248318,16,13,2,8.71267447,0.612995346,0.29,1.85,2.8,3.45
12EF,PRE0004,PI147829,16,14,2,4.429141012,0.606527665,0.283,1.75,2.6,3.7
12EF,PRE0019,PI147937,16,15,2,3.005151845,0.758456462,0.23,1.5,2.25,3.35
12EF,PRE0558,NSL51678,16,16,2,4.255090506,0.768316341,0.36,1.8,2.7,3
12EF,PRE0145,PI276800,16,17,2,1.793156062,0.783808632,0.254,1.4,2.25,2.25
12EF,PRE1446,PI505705,16,18,2,15.56823252,0.640031295,0.268,1.65,2.75,3.4
12EF,PRE0425,PI571001,16,19,2,9.461753045,0.645098863,0.311,1.45,2.2,2.9
12EF,PRE1039,PI330887,16,20,2,10.18688539,0.590606988,0.297,1.85,2.75,4.3
12EF,PRE0265,NSL50483,16,21,2,14.0324688,0.661635851,0.352,1.8,2.8,3.6
12EF,PRE0136,PI276787,16,22,2,3.987559065,0.782883049,0.25,1.3,1.9,2.7
12EF,PRE0066,PI152748,16,23,2,8.997368232,0.71876457,0.324,1.6,2.3,3
12EF,PRE0500,NSL55745,16,24,2,8.157168673,0.735220477,0.291,1.6,2.4,3.05
13EF,PRE0356,NSL51981,1,1,1,8.997880539,0.759152216,0.2,1.5,2.6,3
13EF,PRE0146,PI276801,1,4,1,18.8949268,0.645533141,0.3,1.85,3.4,3.9
13EF,PRE0140,PI276791,1,5,1,8.524515789,0.740131579,0.2,1.5,3.9,5
13EF,PRE0244,NSL50401,1,6,1,9.036460104,0.774611399,0.175,1.3,2.6,3.3
13EF,PRE0277,PI562969,1,7,2,17.04733228,0.57480315,0.25,1.7,3.2,3.8
13EF,PRE0212,PI291237,1,8,2,10.66165986,0.707482993,0.3,1.55,3.3,3.9
13EF,PRE1446,PI505705,1,9,2,11.0347156,0.724770642,0.225,1.2,3,3.8
13EF,PRE0025,PI148086,1,10,2,15.34740146,0.762773723,0.225,1.75,3.7,4.1
13EF,PRE0382,PI660597,1,11,2,7.750967089,0.797468354,0.2,1.15,2.7,3.3
13EF,PRE0373,PI660602,1,12,2,11.372848,0.757647059,0.25,1.8,3.6,4.2
13EF,Pacesetter,commercial hybrid,1,2,1,NA,0.697740113,0.3,1.9,3.3,3.5
13EF,PRE1321,NSL365751,1,3,1,8.363899408,0.74852071,0.3,1.25,2.25,3.1
13EF,PRE1451,PI525059,2,1,1,11.88992865,0.744144144,0.25,1.5,3.1,3.5
13EF,PRE1101,NSL87138,2,4,1,7.306746237,0.718637993,0.25,1.75,3.5,3.4
13EF,PRE0300,NSL50843,2,5,1,12.17464444,0.759259259,0.3,1.6,3.4,3.9
13EF,PRE0425,PI571001,2,6,1,10.47506557,0.790983607,0.275,1.2,2.5,3.1
13EF,PRE0041,PI148114,2,7,2,14.45770667,0.688888889,0.3,1.95,3.9,4.6
13EF,PRE0201,PI248328,2,8,2,8.526501468,0.763102725,0.225,1.7,3.7,4.4
13EF,PRE0370,PI660595,2,9,2,9.522730303,0.765151515,0.225,1.2,3.4,3.9
13EF,PRE1506,NSL360555,2,10,2,6.741020408,0.802721088,0.25,0.95,2.3,3.3
13EF,PRE0109,PI257598,2,11,2,14.96286316,0.486842105,0.3,1.95,4,4.2
13EF,PRE1262,PI571191,2,12,2,7.461715556,0.755555556,0.2,1.5,3.8,3.5
13EF,PRE0277,PI562969,2,2,1,9.711678632,0.752136752,0.3,1.8,3.3,3.6
13EF,PRE0514,NSL52286,2,3,1,10.4245619,0.753968254,0.2,1.6,3.3,3.9
13EF,PRE1476,NSL365799,3,1,1,6.263817964,0.754491018,0.2,1.05,2.25,2.5
13EF,PRE0529,NSL50733,3,4,1,8.134075973,0.784897025,0.25,1.25,3,3.6
13EF,PRE0450,NSL55043,3,5,1,11.86866835,0.734177215,0.325,1.8,3.7,4.3
13EF,PRE0033,PI148101,3,6,1,12.29861626,0.7731569,0.25,1.9,3.7,4.5
13EF,PRE0331,PI221662,3,7,2,17.39514813,0.689587426,0.225,1.4,3.2,4
13EF,PRE0029,PI148093,3,8,2,9.970832184,0.804597701,0.275,1.75,3.9,4.5
13EF,PRE1442,PI525049,3,9,2,11.94357849,0.752688172,0.225,1.6,3.5,4.1
13EF,PRE0028,PI148089,3,10,2,16.7648691,0.764119601,0.25,1.9,3.9,4.5
13EF,Pacesetter,commercial hybrid,3,11,2,15.00812072,0.768018018,0.3,1.9,3.5,3.9
13EF,PRE0235,PI267614,3,12,2,13.16978993,0.705035971,0.275,1.6,3.6,4
13EF,PRE0248,NSL50374,3,2,1,12.13264843,0.751121076,0.2,1.5,3.2,3.8
13EF,PRE0340,PI570813,3,3,1,10.10603636,0.818181818,0.325,1.45,2.8,3.1
13EF,PRE0519,NSL50630,4,1,1,7.564091925,0.795031056,0.275,1.15,2.05,2.25
13EF,PRE0424,PI660606,4,4,1,8.486554156,0.780856423,0.15,1.3,2.6,3.1
13EF,PRE0284,NSL50499,4,5,1,8.042994413,0.776536313,0.2,1.5,2.8,3.3
13EF,MA38,PI508366,4,6,1,8.693141935,0.790322581,0.3,1.75,3.1,3.9
13EF,PRE0038,PI148108,4,7,2,20.28846825,0.634989201,0.25,1.85,3.9,4.4
13EF,PRE0240,NSL55665,4,8,2,10.01260465,0.790697674,0.25,1.45,3.3,4.1
13EF,PRE1156,PI330098,4,9,2,8.407043478,0.716112532,0.225,1.75,3.8,5.1
13EF,PRE0465,PI155138,4,10,2,10.21691969,0.748031496,0.3,1.7,3.6,4.3
13EF,PRE0671,NSL51603,4,11,2,7.851458147,0.702875399,0.25,1.95,3.5,4.4
13EF,PRE0329,NSL51691,4,12,2,14.85976022,0.689373297,0.2,1.1,3.1,3.7
13EF,PRE0186,PI285041,4,2,1,7.742654749,0.782122905,0.375,1.8,3.1,3.6
13EF,PRE0253,NSL52282,4,3,1,7.680534194,0.748387097,0.15,1.1,2.5,3.3
13EF,PRE0863,NSL55345,5,1,3,7.245812357,0.681922197,0.3,2,3.6,4
13EF,PRE0188,PI285043,5,4,3,12.04033226,0.772177419,0.25,1.8,3.4,4
13EF,PRE0004,PI147829,5,5,3,12.09636621,0.683923706,0.275,1.7,3.4,4.2
13EF,PRE0482,NSL55706,5,6,3,NA,NA,0.275,1.55,3.1,3.9
13EF,PRE0187,PI285042,5,7,4,20.19508383,0.577844311,0.225,1.65,3.5,4.1
13EF,PRE0072,PI153844,5,8,4,15.1956,0.752941176,0.275,1.6,3.5,4.1
13EF,PRE1024,PI329904,5,9,4,5.211723364,0.788161994,0.125,1.15,3.1,3.9
13EF,PRE0371,NSL54144,5,10,4,11.4118688,0.752,0.2,1.7,3.5,3.9
13EF,PRE0569,PI660599,5,11,4,16.67587425,0.678929766,0.25,1.2,3,3.5
13EF,PRE0299,NSL50827,5,12,4,8.261546667,0.784126984,0.2,1,2.5,3.3
13EF,PRE0261,PI660556,5,2,3,10.32563255,0.768736617,0.25,1.8,3.1,3.7
13EF,PRE0333,PI267650,5,3,3,21.6188835,0.587378641,0.25,1.9,3.8,5.1
13EF,PRE0022,PI148083,6,1,3,15.48694325,0.740515933,0.2,1.85,3.9,4.4
13EF,Pacesetter,commercial hybrid,6,4,3,14.31988301,0.760070053,0.325,2.05,3.5,3.8
13EF,PRE0377,NSL67902,6,5,3,7.574798425,0.797244094,0.275,1.55,2.3,2.7
13EF,PRE0528,PI651178,6,6,3,10.03553917,0.772916667,0.3,1.8,3.4,3.9
13EF,PRE0027,PI148088,6,7,4,NA,NA,0.225,1.25,2.9,3.7
13EF,PRE1116,NSL51949,6,8,4,8.296405181,0.816062176,0.25,1.25,2.9,3.6
13EF,PRE0212,PI291237,6,9,4,13.83938558,0.680250784,0.25,1.75,3.6,4.5
13EF,PRE0449,PI591377,6,10,4,12.51701053,0.684210526,0.175,1.7,3.6,4.2
13EF,PRE0726,NSL52124,6,11,4,8.646243312,0.678343949,0.275,1.75,2.7,2.9
13EF,PRE0349,NSL51969,6,12,4,10.80678095,0.795518207,0.25,1.1,2.7,3.5
13EF,PRE0852,NSL54725,6,2,3,13.76924444,0.703703704,0.35,2.1,4.1,4.3
13EF,PRE1154,PI330094,6,3,3,8.203191601,0.742782152,0.325,1.75,3.3,4.1
13EF,PRE0827,NSL54755,7,1,3,8.660698113,0.634433962,0.325,1.95,3.9,4.5
13EF,PRE1330,NSL365760,7,4,3,7.869454545,0.816247582,0.2,1.25,2.9,3.3
13EF,PRE0493,NSL55700,7,5,3,11.94684444,0.777777778,0.3,1.95,3.5,4.3
13EF,PRE0483,NSL55711,7,6,3,14.93826022,0.765799257,0.3,1.9,3.5,4
13EF,PRE0475,NSL55685,7,7,4,17.55967685,0.598522167,0.225,1.8,3.3,3.9
13EF,PRE0298,NSL50956,7,8,4,12.1796176,0.747800587,0.25,1.4,3.1,3.9
13EF,PRE1104,NSL365709,7,9,4,9.880011429,0.753571429,0.175,1.2,2.9,3.5
13EF,PRE1322,NSL365752,7,10,4,7.370595556,0.775308642,0.175,0.95,2.2,2.7
13EF,PRE0544,PI651124,7,11,4,10.19540595,0.782738095,0.25,1.15,2.3,2.9
13EF,PRE0215,PI291240,7,12,4,13.43029565,0.710997442,0.25,1.75,3.4,4
13EF,PRE0388,NSL54224,7,2,3,11.31826723,0.704255319,0.275,1.05,1.85,2.4
13EF,PRE0019,PI147937,7,3,3,10.14489616,0.809682805,0.3,1.55,2.1,3.8
13EF,PRE0278,NSL50587,8,1,3,11.17619263,0.744471744,0.225,1.2,2.6,2.6
13EF,PRE0405,PI570928,8,4,3,17.12880769,0.673076923,0.25,1.75,3.3,4.2
13EF,PRE0301,NSL51030,8,5,3,8.882097231,0.778461538,0.225,1.45,2.9,3.7
13EF,PRE1014,PI329707,8,6,3,12.6865388,0.739759036,0.25,1.5,2.9,4.1
13EF,PRE0532,PI660558,8,7,4,10.01436565,0.681440443,0.35,1.7,2.7,2.9
13EF,PRE0859,NSL55279,8,8,4,10.16707368,0.746411483,0.225,1.75,3.4,4.1
13EF,Pacesetter,commercial hybrid,8,9,4,12.05564276,0.757238307,0.25,1.8,3.3,3.7
13EF,PRE0342,PI562963,8,10,4,7.626347826,0.782608696,0.25,1.2,2.4,3
13EF,PRE0305,PI282868,8,11,4,9.778731707,0.756097561,0.2,1.15,2.2,2.6
13EF,PRE0391,PI647743,8,12,4,11.22153395,0.723255814,0.25,1.45,2.8,3.5
13EF,PRE0496,NSL55704,8,2,3,7.145469169,0.798927614,0.275,1.05,1.9,2.8
13EF,PRE1484,PI660626,8,3,3,9.633697409,0.725388601,0.275,2.1,3.8,3.9
13EF,PRE0413,PI660603,9,1,5,7.271004082,0.812244898,0.25,1.3,2.2,2.7
13EF,PRE0273,NSL50937,9,4,5,11.8456,0.75,0.275,1.65,3.3,4
13EF,PRE0527,NSL50717,9,5,5,12.9846,0.75,0.25,1.5,2.8,3.8
13EF,PRE1039,PI330887,9,6,5,7.343633423,0.752021563,0.15,0.95,2.2,3.4
13EF,PRE0725,NSL51906,9,7,6,14.4022314,0.628099174,0.25,1.7,3.1,3.5
13EF,PRE0428,NSL54577,9,8,6,8.438171429,0.787114846,0.225,1,2.6,3
13EF,PRE0396,NSL54147,9,9,6,7.596966507,0.796650718,0.15,1,2.8,3.4
13EF,PRE0865,NSL55350,9,10,6,11.89563084,0.651869159,0.3,2.05,3.6,4.4
13EF,PRE0681,PI570717,9,11,6,15.02982982,0.592727273,0.225,1.75,3.8,4
13EF,PRE0053,PI152636,9,12,6,9.674438814,0.789757412,0.25,1.4,2.7,3.2
13EF,PRE0484,NSL55744,9,2,5,9.459646586,0.779116466,0.225,1.3,2.5,3
13EF,PRE1023,PI329903,9,3,5,12.30319825,0.793859649,0.25,1.4,3.4,3.9
13EF,Pacesetter,commercial hybrid,10,1,5,13.67155938,0.7390625,0.25,1.9,3.3,3.4
13EF,ZMA_5327,PI505730,10,4,5,10.91133165,0.782278481,0.25,1.7,2.8,3.8
13EF,PRE0171,PI276838,10,5,5,6.953524691,0.645061728,0.3,1.95,3.1,3.3
13EF,PRE0269,NSL80235,10,6,5,10.19044557,0.803797468,0.275,1.35,2.4,3.4
13EF,PRE0832,NSL54790,10,7,6,11.53361304,0.702173913,0.2,1.7,3.7,4.1
13EF,PRE0319,PI267653,10,8,6,9.166854849,0.785953177,0.225,1.3,2.5,3.3
13EF,PRE0490,PI651187,10,9,6,NA,NA,0.275,1.1,2.3,3.1
13EF,PRE0501,NSL55713,10,10,6,14.28559111,0.631111111,0.25,1.75,3.6,4.1
13EF,PRE0320,PI282835,10,11,6,7.904788701,0.790960452,0.225,1.15,2.8,3.4
13EF,PRE0603,NSL50451,10,12,6,17.47460187,0.663551402,0.225,1.5,2.8,3.5
13EF,PRE0574,PI647747,10,2,5,11.08949787,0.765957447,0.2,1.7,3.1,3.5
13EF,PRE0466,NSL55230,10,3,5,8.38304,0.8,0.325,1.7,3,3.6
13EF,PRE0549,PI651103,11,1,5,4.705028037,0.801401869,0.225,1.15,2.1,2.4
13EF,PRE0291,NSL50663,11,4,5,6.715544,0.78,0.25,1.05,2.3,3.3
13EF,PRE0580,NSL54818,11,5,5,10.97290141,0.770623742,0.275,1.7,3.1,3.7
13EF,ZMA_5379,PI505741,11,6,5,9.053212903,0.774193548,0.2,1.4,2.7,3.7
13EF,PRE0257,NSL50449,11,7,6,12.27099448,0.654696133,0.25,1.65,3.3,4
13EF,PRE0600,PI152862,11,8,6,13.01997267,0.667701863,0.25,2.05,4.4,4.8
13EF,PRE0351,NSL52176,11,9,6,NA,0.813218391,0.2,1.35,2.3,2.9
13EF,PRE0784,NSL54496,11,10,6,10.7066,0.75,0.225,1.6,3.4,3.9
13EF,PRE0353,NSL52211,11,11,6,10.04267933,0.809976247,0.25,1.25,2.8,3.5
13EF,PRE0025,PI148086,11,12,6,7.074952425,0.810623557,0.2,1.85,3.5,4.1
13EF,PRE0515,NSL50414,11,2,5,9.220595068,0.756164384,0.15,1.15,2.5,3.3
13EF,PRE1021,PI329901,11,3,5,15.61919831,0.725738397,0.275,2.15,4,4.1
13EF,PRE0086,PI154868,12,1,5,3.06792518,0.81294964,0.3,1.25,2.3,2.7
13EF,PRE1446,PI505705,12,4,5,12.90678713,0.73019802,0.225,1.4,2.8,3.3
13EF,PRE1025,PI329915,12,5,5,10.40182648,0.817351598,0.275,1.6,3.1,3.8
13EF,PRE0460,NSL55051,12,6,5,9.878181432,0.676392573,0.225,1.7,3.6,3.9
13EF,Pacesetter,commercial hybrid,12,7,6,14.40835,0.725,0.275,1.9,3.4,3.9
13EF,PRE0902,NSL55159,12,8,6,9.59749875,0.665625,0.275,1.9,3.6,4.1
13EF,PRE0584,NSL55719,12,9,6,NA,NA,0.2,1.25,2.3,3.1
13EF,PRE0382,PI660597,12,10,6,7.989409322,0.802966102,0.2,1.25,2.6,3.3
13EF,PRE0242,PI647733,12,11,6,13.37289545,0.534090909,0.15,1.2,2.9,3.7
13EF,PRE1441,PI524948,12,12,6,11.69086792,0.784366577,0.225,1.5,3.2,3.9
13EF,PRE0097,PI221624,12,2,5,6.989785806,0.812903226,0.25,1.2,2.2,3
13EF,PRE0473,NSL55730,12,3,5,3.989740044,0.809628009,0.225,1.1,2.3,2.8
13EF,PRE1203,PI383856,13,1,7,8.275236056,0.650704225,0.2,1.35,3.1,4.5
13EF,PRE0328,NSL51817,13,4,7,10.45425948,0.667447307,0.25,1.65,2.5,2.7
13EF,PRE0063,PI152731,13,5,7,9.461603265,0.804081633,0.25,1.25,2.4,3.1
13EF,PRE0362,NSL54142,13,6,7,8.679445914,0.80155642,0.225,1.45,3,3.8
13EF,PRE0408,NSL54236,13,7,8,12.03718564,0.712820513,0.25,1.3,2.7,3.3
13EF,PRE0373,PI660602,13,8,8,11.55500108,0.724324324,0.3,1.75,3.6,4.3
13EF,PRE0091,PI156143,13,9,8,NA,NA,0.15,1,2.6,3.2
13EF,Grassl,PI154844,13,10,8,16.81886184,0.718199609,0.2,1.8,3.4,3.8
13EF,PRE1123,NSL50752,13,11,8,5.150023923,0.820574163,0.2,1,2.2,3.2
13EF,PRE0420,PI570969,13,12,8,8.505768022,0.775067751,0.15,1,1.9,2.5
13EF,PRE0367,NSL54212,13,2,7,11.51941986,0.787528868,0.25,1.35,2.8,3.4
13EF,PRE0254,NSL365683,13,3,7,13.55353892,0.699507389,0.2,1.5,3.1,3.9
13EF,PRE0036,PI148105,14,1,7,10.393375,0.759868421,0.25,1.45,3.2,3.9
13EF,PRE0804,PI570991,14,4,7,10.27213608,0.721649485,0.25,1.8,3.2,3.4
13EF,PRE0311,PI152593,14,5,7,9.448788501,0.792607803,0.15,1.4,2.8,3.5
13EF,PRE0330,NSL51780,14,6,7,9.066211055,0.819095477,0.175,1.2,2.7,3.3
13EF,PRE0111,PI257600,14,7,8,10.12161845,0.725728155,0.25,1.85,3.3,3.8
13EF,PRE0061,PI152727,14,8,8,6.903263514,0.766891892,0.125,0.95,2.7,3.5
13EF,PRE0358,NSL54221,14,9,8,3.785880682,0.786931818,0.15,0.75,1.45,1.8
13EF,PRE1072,NSL365697,14,10,8,3.765027778,0.756944444,0.175,0.95,1.5,1.5
13EF,PRE0281,NSL50989,14,11,8,14.46981352,0.708624709,0.2,0.85,1.7,2.1
13EF,Pacesetter,commercial hybrid,14,12,8,7.585124324,0.810810811,0.2,1.55,3.2,3.4
13EF,PRE0720,NSL51991,14,2,7,10.24104757,0.643203883,0.25,1.65,2.4,2.8
13EF,PRE0158,PI276819,14,3,7,7.137733333,0.833333333,0.225,1.1,2.7,3.6
13EF,PRE0270,PI651113,15,1,7,7.838328657,0.79759519,0.225,1.2,2.5,2.7
13EF,PRE0566,NSL52006,15,4,7,7.923478261,0.782608696,0.275,1.25,2.4,3.1
13EF,PRE0384,NSL54165,15,5,7,10.06351858,0.787610619,0.2,1.3,2.7,3.4
13EF,PRE0056,PI152702,15,6,7,10.90797017,0.70441989,0.2,1.3,2.8,3.6
13EF,PRE0457,NSL54977,15,7,8,14.01172189,0.600591716,0.225,1.5,3,3.7
13EF,PRE1057,PI154844,15,8,8,11.29169188,0.747099768,0.25,1.8,3.5,3.7
13EF,PRE1262,PI571191,15,9,8,7.835893208,0.7470726,0.225,1.5,3.3,3.4
13EF,PRE1440,PI522160,15,10,8,10.72864516,0.677419355,0.15,1,2.3,2.8
13EF,PRE0064,PI152736,15,11,8,5.462515167,0.77377892,0.175,0.95,2.2,2.5
13EF,PRE0374,NSL54219,15,12,8,6.308307692,0.807692308,0.175,1.1,2.4,2.9
13EF,PRE0042,NSL52312,15,2,7,7.7452,0.8,0.2,1.15,2,2.6
13EF,Pacesetter,commercial hybrid,15,3,7,13.23409524,0.761904762,0.3,1.95,3.3,3.8
13EF,PRE0558,NSL51678,16,1,7,5.348013502,0.774261603,0.225,1.6,3,3
13EF,PRE0826,NSL54753,16,4,7,10.71744762,0.69047619,0.25,1.9,3.1,3.9
13EF,PRE1089,NSL55476,16,5,7,8.447409174,0.605504587,0.325,2.1,4,4.4
13EF,PRE1424,PI609612,16,6,7,9.648917359,0.652811736,0.15,1.8,3.1,3.4
13EF,PRE0386,PI660598,16,7,8,7.284378223,0.733524355,0.2,1.15,2.6,2.9
